index,feature_EN,feature_VI,category
89,red sore around nose,vết loét đỏ quanh mũi,Da liễu
90,red spots over body,đốm đỏ trên cơ thể,Da liễu
91,redness of eyes,đỏ mắt,Mắt
92,restlessness,bồn chồn,Thần kinh
93,runny nose,chảy nước mũi,Hệ hô hấp
94,rusty sputum,đờm rỉ sét,Hệ hô hấp
95,scurring,sẹo,Da liễu
96,shivering,run rẩy,Toàn thân
97,silver like dusting,bong da như vảy bạc,Da liễu
98,sinus pressure,áp lực xoang,Hệ hô hấp
99,skin peeling,bong tróc da,Da liễu
100,skin rash,phát ban da,Da liễu
101,slurred speech,nói lắp,Thần kinh
102,small dents in nails,móng có vết lõm nhỏ,Da liễu
103,spinning movements,chuyển động xoay tròn,Thần kinh
104,spotting urination,đốm tiểu,Hệ tiêu hóa
105,stiff neck,cứng cổ,Cơ - Xương - Khớp
106,stomach bleeding,chảy máu dạ dày,Hệ tiêu hóa
107,stomach pain,đau dạ dày,Hệ tiêu hóa
108,sunken eyes,mắt trũng sâu,Toàn thân
109,sweating,đổ mồ hôi,Toàn thân
110,swelled lymph nodes,hạch bạch huyết sưng,Toàn thân
111,swelling joints,khớp sưng,Cơ - Xương - Khớp
112,swelling of stomach,bụng sưng,Toàn thân
113,swollen blood vessels,mạch máu sưng,Tim mạch
114,swollen extremities,tứ chi sưng,Toàn thân
115,swollen legs,chân sưng,Toàn thân
116,throat irritation,kích ứng cổ họng,Hệ hô hấp
117,toxic look (typhos),nhìn độc (thương hàn),Toàn thân
118,ulcers on tongue,loét lưỡi,Da liễu
119,unsteadiness,không vững,Thần kinh
120,visual disturbances,rối loạn thị giác,Mắt
121,vomiting,nôn mửa,Hệ tiêu hóa
122,watering from eyes,chảy nước mắt,Mắt
123,weakness in limbs,yếu tay chân,Cơ - Xương - Khớp
124,weakness of one body side,yếu một bên cơ thể,Cơ - Xương - Khớp
125,weight gain,tăng cân,Toàn thân
126,weight loss,giảm cân,Toàn thân
127,yellow crust ooze,chảy dịch vàng có vảy,Da liễu
128,yellow urine,nước tiểu vàng,Hệ tiêu hóa
129,yellowing of eyes,vàng mắt,Da liễu
130,yellowish skin,da vàng,Da liễu
